Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,2.626e-3,682e-9,0,,,,
mean,2.9138e-3,850e-9,2.618e-6,,,,
min,2.511e-3,2e-9,2e-9,,,,
max,10.067e-3,32.065e-6,39.900e-6,,,,
sdev,476.7e-6,2.579e-6,8.406e-6,,,,
num,283,308,25,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
