Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,83.0e-3,241.4e-9,0,,,,
mean,82.8825e-3,238.469e-9,0.0e-9,,,,
min,82.1e-3,232.1e-9,0.0e-9,,,,
max,83.9e-3,245.9e-9,0.0e-9,,,,
sdev,272.9e-6,2.230e-9,0,,,,
num,270,269,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
