Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,97.1e-3,241.8e-9,0,,,,
mean,88.194e-3,239.435e-9,0.0e-9,,,,
min,80.5e-3,225.1e-9,0.0e-9,,,,
max,98.0e-3,251.4e-9,0.0e-9,,,,
sdev,6.872e-3,2.506e-9,0,,,,
num,1.294e+3,1.293e+3,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
