Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,17.88e-3,118e-9,0,,,,
mean,27.37e-3,267.9e-9,0e-9,,,,
min,15.69e-3,95e-9,0e-9,,,,
max,39.67e-3,488e-9,0e-9,,,,
sdev,10.71e-3,166.2e-9,0,,,,
num,311,311,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
