Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,40.97e-3,238.6e-9,0,,,,
mean,40.8254e-3,239.946e-9,0.0e-9,,,,
min,40.55e-3,231.6e-9,0.0e-9,,,,
max,41.33e-3,251.2e-9,0.0e-9,,,,
sdev,170.3e-6,2.400e-9,0,,,,
num,506,505,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
