Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,117.8e-3,241.8e-9,0,,,,
mean,100.43e-3,241.124e-9,0.0e-9,,,,
min,80.5e-3,225.1e-9,0.0e-9,,,,
max,122.4e-3,251.4e-9,0.0e-9,,,,
sdev,11.37e-3,2.693e-9,0,,,,
num,3.975e+3,3.974e+3,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
