Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,68.2e-3,242.4e-9,0,,,,
mean,61.21e-3,18.6e-9,21.3e-9,,,,
min,13.3e-3,400e-12,400e-12,,,,
max,81.3e-3,23.9504e-6,19.5679e-6,,,,
sdev,17.64e-3,309.4e-9,325.1e-9,,,,
num,965,73.437e+3,72.606e+3,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
