Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,1.79e-3,48e-9,15.537e-6,,,,
mean,2.023e-3,3.65e-6,2.929e-6,,,,
min,1.48e-3,0e-9,0e-9,,,,
max,12.67e-3,98.858e-6,96.516e-6,,,,
sdev,1.362e-3,16.01e-6,7.710e-6,,,,
num,683,1.995e+3,1.383e+3,,,,
status,Valid.,Valid.,Data undersampled.,,,,
