Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,17.89e-3,118e-9,0,,,,
mean,27.46e-3,269.3e-9,0e-9,,,,
min,15.69e-3,95e-9,0e-9,,,,
max,39.67e-3,488e-9,0e-9,,,,
sdev,10.72e-3,166.4e-9,0,,,,
num,308,308,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
