Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,117.8e-3,242.8e-9,0,,,,
mean,100.52e-3,241.135e-9,0.0e-9,,,,
min,80.5e-3,225.1e-9,0.0e-9,,,,
max,122.4e-3,251.4e-9,0.0e-9,,,,
sdev,11.41e-3,2.692e-9,0,,,,
num,3.996e+3,3.995e+3,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
