Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,9.11e-3,127e-9,0,,,,
mean,9.533e-3,134.17e-9,0e-9,,,,
min,7.87e-3,76e-9,0e-9,,,,
max,22.83e-3,463e-9,0e-9,,,,
sdev,1.225e-3,32.77e-9,0,,,,
num,449,449,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
