Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,38.67e-3,449e-9,0,,,,
mean,27.53e-3,270.4e-9,0e-9,,,,
min,15.69e-3,95e-9,0e-9,,,,
max,39.67e-3,488e-9,0e-9,,,,
sdev,10.72e-3,166.4e-9,0,,,,
num,319,319,0,,,,
status,Not a pulse.,Not a pulse.,"Invalid parameter, Not a pulse, Too little data, No data available.",,,,
