Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,96.3e-3,240.1e-9,0,,,,
mean,88.313e-3,239.450e-9,0.0e-9,,,,
min,80.5e-3,225.1e-9,0.0e-9,,,,
max,98.0e-3,251.4e-9,0.0e-9,,,,
sdev,6.899e-3,2.505e-9,0,,,,
num,1.312e+3,1.311e+3,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
