Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,1.81e-3,101e-9,1e-9,,,,
mean,2.025e-3,3.64e-6,2.912e-6,,,,
min,1.48e-3,0e-9,0e-9,,,,
max,12.67e-3,98.858e-6,96.516e-6,,,,
sdev,1.367e-3,16.02e-6,7.704e-6,,,,
num,678,1.981e+3,1.371e+3,,,,
status,Valid.,Data undersampled.,"Less than, Data undersampled.",,,,
