Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,2.611e-3,20.383e-6,0,,,,
mean,2.9110e-3,905e-9,2.618e-6,,,,
min,2.511e-3,2e-9,2e-9,,,,
max,10.067e-3,32.065e-6,39.900e-6,,,,
sdev,470.7e-6,2.764e-6,8.406e-6,,,,
num,293,318,25,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
