Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,55.41e-3,237.7e-9,0,,,,
mean,44.808e-3,191.1e-9,27.2e-9,,,,
min,15.33e-3,418e-12,418e-12,,,,
max,61.21e-3,17.4165e-6,3.6190e-6,,,,
sdev,6.835e-3,874.3e-9,236.9e-9,,,,
num,1.422e+3,2.544e+3,1.130e+3,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
