Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,1.82e-3,610e-9,0,,,,
mean,2.021e-3,3.66e-6,2.919e-6,,,,
min,1.48e-3,0e-9,0e-9,,,,
max,12.67e-3,98.858e-6,96.516e-6,,,,
sdev,1.355e-3,16.03e-6,7.694e-6,,,,
num,690,2.012e+3,1.393e+3,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
