Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,1.82e-3,2e-9,16.599e-6,,,,
mean,2.022e-3,3.67e-6,2.928e-6,,,,
min,1.48e-3,0e-9,0e-9,,,,
max,12.67e-3,98.858e-6,96.516e-6,,,,
sdev,1.358e-3,16.06e-6,7.704e-6,,,,
num,687,2.005e+3,1.389e+3,,,,
status,Valid.,"Less than, Data undersampled.",Data undersampled.,,,,
