Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,2.662e-3,674e-9,0,,,,
mean,2.9154e-3,855e-9,2.618e-6,,,,
min,2.511e-3,2e-9,2e-9,,,,
max,10.067e-3,32.065e-6,39.900e-6,,,,
sdev,481.3e-6,2.608e-6,8.406e-6,,,,
num,276,301,25,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
