Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,18.02e-3,117e-9,0,,,,
mean,27.59e-3,271.4e-9,0e-9,,,,
min,15.69e-3,95e-9,0e-9,,,,
max,39.67e-3,488e-9,0e-9,,,,
sdev,10.73e-3,166.5e-9,0,,,,
num,302,302,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
