Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,82.1e-3,240.7e-9,0,,,,
mean,82.8868e-3,238.525e-9,0.0e-9,,,,
min,82.1e-3,232.1e-9,0.0e-9,,,,
max,83.9e-3,245.9e-9,0.0e-9,,,,
sdev,271.2e-6,2.172e-9,0,,,,
num,253,252,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
