Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,1.82e-3,3e-9,22.954e-6,,,,
mean,2.018e-3,3.65e-6,2.943e-6,,,,
min,1.48e-3,0e-9,0e-9,,,,
max,12.67e-3,98.858e-6,96.516e-6,,,,
sdev,1.344e-3,15.99e-6,7.689e-6,,,,
num,702,2.052e+3,1.424e+3,,,,
status,Valid.,Valid.,Valid.,,,,
