Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,108.4e-3,244.0e-9,0,,,,
mean,95.917e-3,240.532e-9,0.0e-9,,,,
min,80.5e-3,225.1e-9,0.0e-9,,,,
max,109.4e-3,251.4e-9,0.0e-9,,,,
sdev,8.966e-3,2.582e-9,0,,,,
num,3.000e+3,2.999e+3,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
