Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,82.8e-3,238.9e-9,0,,,,
mean,82.8875e-3,238.554e-9,0.0e-9,,,,
min,82.1e-3,232.1e-9,0.0e-9,,,,
max,83.9e-3,245.9e-9,0.0e-9,,,,
sdev,272.6e-6,2.192e-9,0,,,,
num,240,239,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
