Measure,P1:ampl(C1),P2:rise(C1),P3:fall(C1),P4:- - -,P5:- - -,P6:- - -,
Unit,V,s,s,,,,
value,82.9e-3,236.9e-9,0,,,,
mean,82.8860e-3,238.494e-9,0.0e-9,,,,
min,82.1e-3,232.1e-9,0.0e-9,,,,
max,83.9e-3,245.9e-9,0.0e-9,,,,
sdev,269.3e-6,2.208e-9,0,,,,
num,264,263,0,,,,
status,Valid.,Valid.,"Invalid parameter, Too little data, No data available.",,,,
